City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Meulaboh,ID,4.14,96.13,86.29,60,100,3.94,overcast clouds
169,Peniche,PT,39.36,-9.38,54.0,90,0,1.99,clear sky
170,Berlevag,NO,70.86,29.09,35.6,80,40,10.29,scattered clouds
171,Georgetown,MY,5.41,100.34,86.0,70,40,4.7,scattered clouds
172,Warragul,AU,-38.17,145.93,73.0,74,98,1.01,light rain
173,Huizhou,CN,23.08,114.4,77.36,45,77,13.94,heavy intensity rain
174,Vila Do Maio,CV,15.13,-23.22,77.0,78,20,6.93,few clouds
175,Pevek,RU,69.7,170.31,29.03,95,42,11.59,scattered clouds
176,Te Anau,NZ,-45.42,167.72,56.3,58,97,6.58,overcast clouds
177,Vaini,TO,-21.2,-175.2,77.0,73,75,9.17,broken clouds
178,Diamantino,BR,-14.41,-56.45,79.84,58,79,2.13,broken clouds
179,Chuy,UY,-33.7,-53.46,60.64,91,100,9.28,heavy intensity rain
180,Aksarka,RU,66.56,67.8,17.76,97,96,6.58,overcast clouds
181,Ajaccio,FR,42.0,8.92,53.6,71,0,5.82,clear sky
182,Llanes,ES,43.42,-4.75,59.0,70,46,7.54,light rain
183,Upernavik,GL,72.79,-56.15,23.97,96,100,5.23,overcast clouds
184,Rio Grande,BR,-32.03,-52.1,64.99,95,93,5.01,light rain
185,Mount Gambier,AU,-37.83,140.77,64.4,82,90,9.17,overcast clouds
186,Labuhan,ID,-6.88,112.21,87.57,60,24,7.29,few clouds
187,Ust-Maya,RU,60.42,134.53,22.21,93,100,4.36,overcast clouds
188,Rehoboth,NA,-23.32,17.08,60.19,39,5,1.81,clear sky
189,Koshurnikovo,RU,54.17,93.3,34.34,98,100,2.28,light rain
190,Faya,SA,18.39,42.45,59.0,19,0,6.11,clear sky
191,Raga,SS,8.46,25.68,69.64,91,100,4.34,overcast clouds
192,Bilibino,RU,68.05,166.44,18.01,94,12,1.83,few clouds
193,Toamasina,MG,-18.17,49.38,75.2,88,40,6.93,scattered clouds
194,Neya,RU,58.3,43.87,37.22,95,100,12.19,light rain
195,Tias,ES,28.96,-13.64,66.2,72,0,9.17,clear sky
196,Lalibela,ET,12.03,39.03,56.21,54,100,3.78,overcast clouds
197,Lagunas,PE,-5.23,-75.68,72.72,98,98,1.19,overcast clouds
198,Dukhovshchina,RU,55.19,32.41,50.29,87,51,12.77,broken clouds
199,Airai,TL,-8.93,125.41,79.81,57,27,1.57,light rain
200,Muroto,JP,33.28,134.15,69.8,52,20,18.34,few clouds
201,Yulara,AU,-25.24,130.99,77.0,33,0,16.11,clear sky
202,Morrope,PE,-6.54,-80.01,64.78,81,23,10.25,light rain
203,Winburg,ZA,-28.52,27.01,59.49,73,0,8.16,clear sky
204,Delta Del Tigre,UY,-34.76,-56.39,59.0,100,90,8.05,overcast clouds
205,East London,ZA,-33.02,27.91,68.0,88,40,10.29,scattered clouds
206,Little Current,CA,45.98,-81.92,44.01,100,90,17.22,heavy intensity rain
207,Ayan,RU,56.45,138.17,32.83,84,0,9.28,clear sky
208,Makakilo City,US,21.35,-158.09,80.6,78,1,6.93,clear sky
209,Igarapava,BR,-20.04,-47.75,69.57,84,73,8.9,broken clouds
210,Sada,ES,43.36,-8.26,57.0,100,75,4.7,broken clouds
211,Sitka,US,57.05,-135.33,37.4,44,75,10.29,broken clouds
212,Ribeira Grande,PT,38.52,-28.7,64.54,70,11,5.93,few clouds
213,Linxia,CN,35.6,103.21,54.32,41,100,3.0,overcast clouds
214,Cayenne,GF,4.93,-52.33,75.2,100,0,14.12,clear sky
215,Ballaghaderreen,IE,53.9,-8.58,44.01,99,95,7.0,overcast clouds
216,Roald,NO,62.58,6.13,37.4,66,0,16.11,clear sky
217,Bayburt,TR,40.26,40.23,42.75,68,0,0.07,clear sky
218,Pontianak,ID,-0.03,109.33,85.24,71,100,4.7,moderate rain
219,Havre-Saint-Pierre,CA,50.23,-63.6,30.2,74,1,6.93,clear sky
220,Raton,US,36.9,-104.44,39.2,69,1,13.87,clear sky
221,Iwanai,JP,42.97,140.51,60.44,87,100,11.3,moderate rain
222,Lagoa,PT,39.05,-27.98,64.99,73,72,12.53,broken clouds
223,Koslan,RU,63.46,48.9,18.54,97,45,6.44,scattered clouds
224,Kokopo,PG,-4.35,152.26,86.0,61,8,8.57,clear sky
225,Ermioni,GR,37.39,23.24,65.28,56,0,5.26,clear sky
226,Whyalla,AU,-33.03,137.58,64.4,93,90,16.11,light rain
227,Bereda,ES,43.27,-7.54,51.01,99,60,8.01,light rain
228,Sorland,NO,67.67,12.69,37.4,74,75,12.75,shower rain
229,Kapaa,US,22.08,-159.32,80.6,74,40,13.87,scattered clouds
230,Harper,LR,4.38,-7.72,77.81,87,96,4.59,overcast clouds
231,Atambua,ID,-9.11,124.89,88.18,52,27,6.24,scattered clouds
232,Port Macquarie,AU,-31.43,152.92,82.0,53,1,1.99,clear sky
233,Sur,OM,22.57,59.53,81.97,48,0,9.35,clear sky
234,Morinville,CA,53.8,-113.65,19.4,85,90,3.36,overcast clouds
235,Nicoya,CR,10.15,-85.45,73.94,92,83,0.56,broken clouds
236,Goderich,CA,43.75,-81.72,52.0,87,74,21.39,broken clouds
